v АК,v ЦН,weight75
0.32,0.32,31.470000000000034
0.32633165829145727,0.32,31.470000000000034
0.3326633165829146,0.32,31.470000000000034
0.33899497487437186,0.32,31.470000000000034
0.3453266331658291,0.32,31.470000000000034
0.35165829145728644,0.32,31.470000000000034
0.3579899497487437,0.32,31.470000000000034
0.364321608040201,0.32,31.470000000000034
0.3706532663316583,0.32,31.470000000000034
0.37698492462311556,0.32,31.470000000000034
0.3833165829145728,0.32,31.470000000000034
0.38964824120603014,0.32,31.470000000000034
0.3959798994974874,0.32,31.470000000000034
0.40231155778894473,0.32,31.470000000000034
0.408643216080402,0.32,31.470000000000034
0.4149748743718593,0.32,31.470000000000034
0.4213065326633166,0.32,31.470000000000034
0.42763819095477384,0.32,31.470000000000034
0.43396984924623117,0.32,31.470000000000034
0.44030150753768843,0.32,31.470000000000034
0.4466331658291457,0.32,31.470000000000034
0.452964824120603,0.32,31.470000000000034
0.4592964824120603,0.32,31.470000000000034
0.46562814070351755,0.32,31.470000000000034
0.47195979899497487,0.32,31.470000000000034
0.47829145728643213,0.32,31.470000000000034
0.4846231155778894,0.32,31.470000000000034
0.4909547738693467,0.32,31.470000000000034
0.497286432160804,0.32,31.470000000000034
0.5036180904522612,0.32,31.470000000000034
0.5099497487437186,0.32,31.470000000000034
0.5162814070351758,0.32,31.478950000000033
0.5226130653266331,0.32,31.478950000000033
0.5289447236180904,0.32,31.478950000000033
0.5352763819095476,0.32,31.496850000000023
0.541608040201005,0.32,31.505800000000022
0.5479396984924623,0.32,31.505800000000022
0.5542713567839196,0.32,31.51475000000002
0.5606030150753768,0.32,31.51475000000002
0.5669346733668341,0.32,31.532650000000018
0.5732663316582913,0.32,31.541600000000017
0.5795979899497488,0.32,31.541600000000017
0.585929648241206,0.32,31.541600000000017
0.5922613065326632,0.32,31.541600000000017
0.5985929648241206,0.32,31.568450000000013
0.6049246231155778,0.32,31.57740000000001
0.6112562814070351,0.32,31.57740000000001
0.6175879396984925,0.32,31.58635000000001
0.6239195979899497,0.32,31.58635000000001
0.630251256281407,0.32,31.59530000000001
0.6365829145728643,0.32,31.59530000000001
0.6429145728643215,0.32,31.613200000000006
0.6492462311557788,0.32,31.613200000000006
0.6555778894472362,0.32,31.622150000000005
0.6619095477386934,0.32,31.631100000000004
0.6682412060301507,0.32,31.631100000000004
0.674572864321608,0.32,31.65795
0.6809045226130652,0.32,31.65795
0.6872361809045225,0.32,31.6669
0.6935678391959799,0.32,31.6669
0.6998994974874371,0.32,31.6669
0.7062311557788944,0.32,31.693749999999994
0.7125628140703517,0.32,31.71164999999999
0.7188944723618089,0.32,31.72954999999999
0.7252261306532662,0.32,31.72954999999999
0.7315577889447236,0.32,31.756399999999978
0.7378894472361808,0.32,31.774299999999975
0.7442211055276381,0.32,31.792199999999973
0.7505527638190954,0.32,31.792199999999973
0.7568844221105526,0.32,31.792199999999973
0.7632160804020099,0.32,31.792199999999973
0.7695477386934673,0.32,31.80114999999997
0.7758793969849245,0.32,31.81009999999997
0.7822110552763818,0.32,31.81904999999997
0.7885427135678391,0.32,31.827999999999967
0.7948743718592963,0.32,31.827999999999967
0.8012060301507536,0.32,31.827999999999967
0.807537688442211,0.32,31.845174999999973
0.8138693467336682,0.32,31.86234999999997
0.8202010050251256,0.32,31.86234999999997
0.8265326633165828,0.32,31.86234999999997
0.83286432160804,0.32,31.86234999999997
0.8391959798994975,0.32,31.879524999999973
0.8455276381909547,0.32,31.879524999999973
0.8518592964824119,0.32,31.89669999999997
0.8581909547738693,0.32,31.931049999999978
0.8645226130653265,0.32,31.931049999999978
0.8708542713567837,0.32,31.931049999999978
