v АК,v ЦН,coef A
0.4592964824120603,0.32633165829145727,-6.93646997696061e-05
0.46562814070351755,0.32633165829145727,-6.93646997696061e-05
0.47195979899497487,0.32633165829145727,-6.93646997696061e-05
0.47829145728643213,0.32633165829145727,-6.93646997696061e-05
0.4846231155778894,0.32633165829145727,-6.93646997696061e-05
0.4909547738693467,0.32633165829145727,-6.93646997696061e-05
0.497286432160804,0.32633165829145727,-6.93646997696061e-05
0.5036180904522612,0.32633165829145727,-6.93646997696061e-05
0.5099497487437186,0.32633165829145727,-6.93646997696061e-05
0.5162814070351758,0.32633165829145727,-6.884278030406906e-05
0.5226130653266331,0.32633165829145727,-6.779894137299493e-05
0.5289447236180904,0.32633165829145727,-6.727702190745788e-05
0.5352763819095476,0.32633165829145727,-6.623318297638376e-05
0.541608040201005,0.32633165829145727,-6.57112635108467e-05
0.5479396984924623,0.32633165829145727,-6.466742457977258e-05
0.5542713567839196,0.32633165829145727,-6.466742457977258e-05
0.5606030150753768,0.32633165829145727,-6.414550511423552e-05
0.5669346733668341,0.32633165829145727,-6.414550511423552e-05
0.5732663316582913,0.32633165829145727,-6.31016661831614e-05
0.5795979899497488,0.32633165829145727,-6.257974671762434e-05
0.585929648241206,0.32633165829145727,-6.257974671762434e-05
0.5922613065326632,0.32633165829145727,-6.257974671762434e-05
0.5985929648241206,0.32633165829145727,-6.257974671762434e-05
0.6049246231155778,0.32633165829145727,-6.257974671762434e-05
0.6112562814070351,0.32633165829145727,-6.205782725208729e-05
0.6175879396984925,0.32633165829145727,-6.205782725208729e-05
0.6239195979899497,0.32633165829145727,-6.153590778655022e-05
0.630251256281407,0.32633165829145727,-6.1013988321013164e-05
0.6365829145728643,0.32633165829145727,-6.0492068855476106e-05
0.6429145728643215,0.32633165829145727,-5.997014938993905e-05
0.6492462311557788,0.32633165829145727,-5.997014938993905e-05
0.6555778894472362,0.32633165829145727,-5.997014938993905e-05
0.6619095477386934,0.32633165829145727,-5.8926310458864926e-05
0.6682412060301507,0.32633165829145727,-5.7360552062253753e-05
0.674572864321608,0.32633165829145727,-5.6838632596716696e-05
0.6809045226130652,0.32633165829145727,-5.6838632596716696e-05
0.6872361809045225,0.32633165829145727,-5.631671313117963e-05
0.6935678391959799,0.32633165829145727,-5.631671313117963e-05
0.6998994974874371,0.32633165829145727,-5.5794793665642574e-05
0.7062311557788944,0.32633165829145727,-5.5794793665642574e-05
0.7125628140703517,0.32633165829145727,-5.5272874200105516e-05
0.7188944723618089,0.32633165829145727,-5.475095473456846e-05
0.7252261306532662,0.32633165829145727,-5.42290352690314e-05
0.7315577889447236,0.32633165829145727,-5.318519633795728e-05
0.7378894472361808,0.32633165829145727,-5.214135740688316e-05
0.7442211055276381,0.32633165829145727,-5.1619437941346106e-05
0.7505527638190954,0.32633165829145727,-5.1619437941346106e-05
0.7568844221105526,0.32633165829145727,-5.1619437941346106e-05
0.7632160804020099,0.32633165829145727,-5.1619437941346106e-05
0.7695477386934673,0.32633165829145727,-5.109751847580904e-05
0.7758793969849245,0.32633165829145727,-5.109751847580904e-05
0.7822110552763818,0.32633165829145727,-5.109751847580904e-05
0.7885427135678391,0.32633165829145727,-5.0053679544734926e-05
0.7948743718592963,0.32633165829145727,-4.848792114812375e-05
0.8012060301507536,0.32633165829145727,-4.848792114812375e-05
0.807537688442211,0.32633165829145727,-4.848792114812375e-05
0.8138693467336682,0.32633165829145727,-4.848792114812375e-05
0.8202010050251256,0.32633165829145727,-4.848792114812375e-05
0.8265326633165828,0.32633165829145727,-4.848792114812375e-05
0.83286432160804,0.32633165829145727,-4.848792114812375e-05
0.8391959798994975,0.32633165829145727,-4.834520778532164e-05
0.8455276381909547,0.32633165829145727,-4.827385110392058e-05
0.8518592964824119,0.32633165829145727,-4.8202494422519524e-05
0.8581909547738693,0.32633165829145727,-4.813113774111847e-05
0.8645226130653265,0.32633165829145727,-4.813113774111847e-05
0.8708542713567837,0.32633165829145727,-4.8059781059717413e-05
0.8771859296482412,0.32633165829145727,-4.8059781059717413e-05
0.8835175879396984,0.32633165829145727,-4.798842437831636e-05
0.8898492462311556,0.32633165829145727,-4.79170676969153e-05
0.896180904522613,0.32633165829145727,-4.79170676969153e-05
0.9025125628140702,0.32633165829145727,-4.7774354334113185e-05
0.9088442211055274,0.32633165829145727,-4.7774354334113185e-05
0.9151758793969849,0.32633165829145727,-4.756028428991001e-05
0.9215075376884421,0.32633165829145727,-4.756028428991001e-05
0.9278391959798993,0.32633165829145727,-4.7488927608508956e-05
0.9341708542713567,0.32633165829145727,-4.74175709271079e-05
0.9405025125628139,0.32633165829145727,-4.7346214245706845e-05
0.9468341708542711,0.32633165829145727,-4.727485756430578e-05
0.9531658291457286,0.32633165829145727,-4.713214420150367e-05
0.9594974874371858,0.32633165829145727,-4.713214420150367e-05
0.965829145728643,0.32633165829145727,-4.713214420150367e-05
0.9721608040201004,0.32633165829145727,-4.706078752010261e-05
0.9784924623115576,0.32633165829145727,-4.706078752010261e-05
0.9848241206030148,0.32633165829145727,-4.706078752010261e-05
0.9911557788944723,0.32633165829145727,-4.6989430838701555e-05
0.9974874371859295,0.32633165829145727,-4.69180741573005e-05
1.0038190954773867,0.32633165829145727,-4.677536079449839e-05
1.0101507537688441,0.32633165829145727,-4.670400411309733e-05
1.0164824120603013,0.32633165829145727,-4.663264743169628e-05
1.0228140703517585,0.32633165829145727,-4.656129075029522e-05
1.029145728643216,0.32633165829145727,-4.6418577387493104e-05
1.0354773869346732,0.32633165829145727,-4.634722070609205e-05
1.0418090452261304,0.32633165829145727,-4.6275864024690994e-05
1.0481407035175878,0.32633165829145727,-4.599043729908677e-05
1.054472361809045,0.32633165829145727,-4.599043729908677e-05
1.0608040201005025,0.32633165829145727,-4.591908061768571e-05
1.0671356783919597,0.32633165829145727,-4.5847723936284654e-05
1.0734673366834169,0.32633165829145727,-4.570501057348254e-05
1.0797989949748743,0.32633165829145727,-4.563365389208149e-05
1.0861306532663315,0.32633165829145727,-4.563365389208149e-05
1.0924623115577887,0.32633165829145727,-4.563365389208149e-05
1.0987939698492462,0.32633165829145727,-4.563365389208149e-05
1.1051256281407034,0.32633165829145727,-4.563365389208149e-05
1.1114572864321606,0.32633165829145727,-4.489762783387825e-05
1.117788944723618,0.32633165829145727,-4.416160177567501e-05
1.1241206030150752,0.32633165829145727,-4.342557571747177e-05
1.1304522613065324,0.32633165829145727,-4.342557571747177e-05
1.1367839195979899,0.32633165829145727,-4.268954965926853e-05
1.143115577889447,0.32633165829145727,-4.1217497542862055e-05
1.1494472361809043,0.32633165829145727,-4.048147148465882e-05
1.1557788944723617,0.32633165829145727,-3.974544542645558e-05
1.162110552763819,0.32633165829145727,-3.974544542645558e-05
1.1684422110552761,0.32633165829145727,-3.974544542645558e-05
1.1747738693467336,0.32633165829145727,-3.974544542645558e-05
1.1811055276381908,0.32633165829145727,-3.900941936825234e-05
1.187437185929648,0.32633165829145727,-3.900941936825234e-05
1.1937688442211054,0.32633165829145727,-3.8273393310049105e-05
1.2001005025125626,0.32633165829145727,-3.680134119364262e-05
1.2064321608040198,0.32633165829145727,-3.6065315135439385e-05
1.2127638190954773,0.32633165829145727,-3.532928907723615e-05
1.2190954773869345,0.32633165829145727,-3.459326301903292e-05
1.2254271356783917,0.32633165829145727,-3.385723696082967e-05
1.231758793969849,0.32633165829145727,-3.23851848444232e-05
1.2380904522613063,0.32633165829145727,-3.23851848444232e-05
1.2444221105527635,0.32633165829145727,-3.164915878621996e-05
1.250753768844221,0.32633165829145727,-3.091313272801672e-05
1.2570854271356782,0.32633165829145727,-3.091313272801672e-05
1.2634170854271354,0.32633165829145727,-3.017710666981348e-05
1.2697487437185928,0.32633165829145727,-2.870505455340701e-05
1.27608040201005,0.32633165829145727,-2.870505455340701e-05
1.2824120603015072,0.32633165829145727,-2.7969028495203768e-05
1.2887437185929647,0.32633165829145727,-2.723300243700053e-05
1.2950753768844219,0.32633165829145727,-2.576095032059406e-05
1.301407035175879,0.32633165829145727,-2.4288898204187583e-05
1.3077386934673365,0.32633165829145727,-2.2080820029577874e-05
1.3140703517587937,0.32633165829145727,-2.1344793971374636e-05
1.3204020100502512,0.32633165829145727,-2.1344793971374636e-05
1.3267336683417084,0.32633165829145727,-2.1344793971374636e-05
1.3330653266331656,0.32633165829145727,-2.0608767913171402e-05
1.339396984924623,0.32633165829145727,-1.9872741854968164e-05
1.3457286432160802,0.32633165829145727,-1.9136715796764927e-05
1.3520603015075374,0.32633165829145727,-1.7664663680358455e-05
1.3583919597989949,0.32633165829145727,-1.7664663680358455e-05
1.364723618090452,0.32633165829145727,-1.7664663680358455e-05
1.3710552763819093,0.32633165829145727,-1.7664663680358455e-05
1.3773869346733667,0.32633165829145727,-1.7664663680358455e-05
1.383718592964824,0.32633165829145727,-1.7664663680358455e-05
1.3900502512562811,0.32633165829145727,-1.6928637622155217e-05
1.3963819095477386,0.32633165829145727,-1.619261156395198e-05
1.4027135678391958,0.32633165829145727,-1.619261156395198e-05
1.409045226130653,0.32633165829145727,-1.619261156395198e-05
1.4153768844221104,0.32633165829145727,-1.619261156395198e-05
1.4217085427135676,0.32633165829145727,-1.619261156395198e-05
1.4280402010050248,0.32633165829145727,-1.619261156395198e-05
1.4343718592964823,0.32633165829145727,-1.619261156395198e-05
1.4407035175879395,0.32633165829145727,-1.619261156395198e-05
1.4470351758793967,0.32633165829145727,-1.619261156395198e-05
1.453366834170854,0.32633165829145727,-1.619261156395198e-05
1.4596984924623113,0.32633165829145727,-1.619261156395198e-05
1.4660301507537687,0.32633165829145727,-1.619261156395198e-05
1.472361809045226,0.32633165829145727,-1.619261156395198e-05
1.4786934673366832,0.32633165829145727,-1.619261156395198e-05
1.4850251256281406,0.32633165829145727,-1.619261156395198e-05
1.4913567839195978,0.32633165829145727,-1.619261156395198e-05
1.497688442211055,0.32633165829145727,-1.619261156395198e-05
1.5040201005025124,0.32633165829145727,-1.619261156395198e-05
1.5103517587939697,0.32633165829145727,-1.619261156395198e-05
1.5166834170854269,0.32633165829145727,-1.619261156395198e-05
1.5230150753768843,0.32633165829145727,-1.619261156395198e-05
1.5293467336683415,0.32633165829145727,-1.619261156395198e-05
1.5356783919597987,0.32633165829145727,-1.619261156395198e-05
1.5420100502512561,0.32633165829145727,-1.619261156395198e-05
1.5483417085427134,0.32633165829145727,-1.619261156395198e-05
1.5546733668341706,0.32633165829145727,-1.619261156395198e-05
1.561005025125628,0.32633165829145727,-1.619261156395198e-05
1.5673366834170852,0.32633165829145727,-1.619261156395198e-05
1.5736683417085424,0.32633165829145727,-1.619261156395198e-05
1.5799999999999998,0.32633165829145727,-1.619261156395198e-05
0.32,0.3326633165829146,-6.93646997696061e-05
0.32633165829145727,0.3326633165829146,-6.93646997696061e-05
0.3326633165829146,0.3326633165829146,-6.93646997696061e-05
0.33899497487437186,0.3326633165829146,-6.93646997696061e-05
0.3453266331658291,0.3326633165829146,-6.93646997696061e-05
0.35165829145728644,0.3326633165829146,-6.93646997696061e-05
0.3579899497487437,0.3326633165829146,-6.93646997696061e-05
0.364321608040201,0.3326633165829146,-6.93646997696061e-05
0.3706532663316583,0.3326633165829146,-6.93646997696061e-05
0.37698492462311556,0.3326633165829146,-6.93646997696061e-05
0.3833165829145728,0.3326633165829146,-6.93646997696061e-05
0.38964824120603014,0.3326633165829146,-6.93646997696061e-05
0.3959798994974874,0.3326633165829146,-6.93646997696061e-05
0.40231155778894473,0.3326633165829146,-6.93646997696061e-05
0.408643216080402,0.3326633165829146,-6.93646997696061e-05
0.4149748743718593,0.3326633165829146,-6.93646997696061e-05
0.4213065326633166,0.3326633165829146,-6.93646997696061e-05
0.42763819095477384,0.3326633165829146,-6.93646997696061e-05
0.43396984924623117,0.3326633165829146,-6.93646997696061e-05
0.44030150753768843,0.3326633165829146,-6.93646997696061e-05
0.4466331658291457,0.3326633165829146,-6.93646997696061e-05
0.452964824120603,0.3326633165829146,-6.93646997696061e-05
0.4592964824120603,0.3326633165829146,-6.93646997696061e-05
0.46562814070351755,0.3326633165829146,-6.93646997696061e-05
0.47195979899497487,0.3326633165829146,-6.93646997696061e-05
0.47829145728643213,0.3326633165829146,-6.93646997696061e-05
0.4846231155778894,0.3326633165829146,-6.93646997696061e-05
0.4909547738693467,0.3326633165829146,-6.93646997696061e-05
0.497286432160804,0.3326633165829146,-6.93646997696061e-05
0.5036180904522612,0.3326633165829146,-6.93646997696061e-05
0.5099497487437186,0.3326633165829146,-6.93646997696061e-05
0.5162814070351758,0.3326633165829146,-6.884278030406906e-05
0.5226130653266331,0.3326633165829146,-6.779894137299493e-05
0.5289447236180904,0.3326633165829146,-6.727702190745788e-05
0.5352763819095476,0.3326633165829146,-6.623318297638376e-05
0.541608040201005,0.3326633165829146,-6.57112635108467e-05
0.5479396984924623,0.3326633165829146,-6.466742457977258e-05
0.5542713567839196,0.3326633165829146,-6.466742457977258e-05
0.5606030150753768,0.3326633165829146,-6.414550511423552e-05
0.5669346733668341,0.3326633165829146,-6.414550511423552e-05
0.5732663316582913,0.3326633165829146,-6.31016661831614e-05
0.5795979899497488,0.3326633165829146,-6.257974671762434e-05
0.585929648241206,0.3326633165829146,-6.257974671762434e-05
0.5922613065326632,0.3326633165829146,-6.257974671762434e-05
0.5985929648241206,0.3326633165829146,-6.257974671762434e-05
0.6049246231155778,0.3326633165829146,-6.257974671762434e-05
0.6112562814070351,0.3326633165829146,-6.205782725208729e-05
0.6175879396984925,0.3326633165829146,-6.205782725208729e-05
0.6239195979899497,0.3326633165829146,-6.153590778655022e-05
0.630251256281407,0.3326633165829146,-6.1013988321013164e-05
0.6365829145728643,0.3326633165829146,-6.0492068855476106e-05
0.6429145728643215,0.3326633165829146,-5.997014938993905e-05
0.6492462311557788,0.3326633165829146,-5.997014938993905e-05
0.6555778894472362,0.3326633165829146,-5.997014938993905e-05
0.6619095477386934,0.3326633165829146,-5.8926310458864926e-05
0.6682412060301507,0.3326633165829146,-5.7360552062253753e-05
0.674572864321608,0.3326633165829146,-5.6838632596716696e-05
0.6809045226130652,0.3326633165829146,-5.6838632596716696e-05
0.6872361809045225,0.3326633165829146,-5.631671313117963e-05
0.6935678391959799,0.3326633165829146,-5.631671313117963e-05
0.6998994974874371,0.3326633165829146,-5.5794793665642574e-05
0.7062311557788944,0.3326633165829146,-5.5794793665642574e-05
0.7125628140703517,0.3326633165829146,-5.5272874200105516e-05
0.7188944723618089,0.3326633165829146,-5.475095473456846e-05
0.7252261306532662,0.3326633165829146,-5.42290352690314e-05
0.7315577889447236,0.3326633165829146,-5.318519633795728e-05
0.7378894472361808,0.3326633165829146,-5.214135740688316e-05
0.7442211055276381,0.3326633165829146,-5.1619437941346106e-05
0.7505527638190954,0.3326633165829146,-5.1619437941346106e-05
0.7568844221105526,0.3326633165829146,-5.1619437941346106e-05
0.7632160804020099,0.3326633165829146,-5.1619437941346106e-05
0.7695477386934673,0.3326633165829146,-5.109751847580904e-05
0.7758793969849245,0.3326633165829146,-5.109751847580904e-05
0.7822110552763818,0.3326633165829146,-5.109751847580904e-05
0.7885427135678391,0.3326633165829146,-5.0053679544734926e-05
0.7948743718592963,0.3326633165829146,-4.848792114812375e-05
0.8012060301507536,0.3326633165829146,-4.848792114812375e-05
0.807537688442211,0.3326633165829146,-4.848792114812375e-05
0.8138693467336682,0.3326633165829146,-4.848792114812375e-05
0.8202010050251256,0.3326633165829146,-4.848792114812375e-05
0.8265326633165828,0.3326633165829146,-4.848792114812375e-05
0.83286432160804,0.3326633165829146,-4.848792114812375e-05
0.8391959798994975,0.3326633165829146,-4.834520778532164e-05
0.8455276381909547,0.3326633165829146,-4.827385110392058e-05
0.8518592964824119,0.3326633165829146,-4.8202494422519524e-05
0.8581909547738693,0.3326633165829146,-4.813113774111847e-05
0.8645226130653265,0.3326633165829146,-4.813113774111847e-05
0.8708542713567837,0.3326633165829146,-4.8059781059717413e-05
0.8771859296482412,0.3326633165829146,-4.8059781059717413e-05
0.8835175879396984,0.3326633165829146,-4.798842437831636e-05
0.8898492462311556,0.3326633165829146,-4.79170676969153e-05
0.896180904522613,0.3326633165829146,-4.79170676969153e-05
0.9025125628140702,0.3326633165829146,-4.7774354334113185e-05
0.9088442211055274,0.3326633165829146,-4.7774354334113185e-05
0.9151758793969849,0.3326633165829146,-4.756028428991001e-05
0.9215075376884421,0.3326633165829146,-4.756028428991001e-05
0.9278391959798993,0.3326633165829146,-4.7488927608508956e-05
