v AA,v TC,I(max) - I(650)
0.6799999999999999,0.78,0.15124711828193843
0.6912562814070351,0.78,0.15124711828193843
0.7025125628140703,0.78,0.15124711828193843
0.7137688442211054,0.78,0.15124711828193843
0.7250251256281406,0.78,0.15124711828193843
0.7362814070351759,0.78,0.15124711828193843
0.747537688442211,0.78,0.15124711828193843
0.7587939698492462,0.78,0.15124711828193843
0.7700502512562813,0.78,0.15124711828193843
0.7813065326633165,0.78,0.15124711828193843
0.7925628140703517,0.78,0.15124711828193843
0.8038190954773868,0.78,0.15124711828193843
0.8150753768844221,0.78,0.15124711828193843
0.8263316582914573,0.78,0.15124711828193843
0.8375879396984924,0.78,0.15124711828193843
0.8488442211055276,0.78,0.15124711828193843
0.8601005025125628,0.78,0.15124711828193843
0.8713567839195979,0.78,0.15124711828193843
0.8826130653266331,0.78,0.15124711828193843
0.8938693467336682,0.78,0.15124711828193843
0.9051256281407034,0.78,0.15124711828193843
0.9163819095477386,0.78,0.15124711828193843
0.9276381909547738,0.78,0.15124711828193843
0.938894472361809,0.78,0.15124711828193843
0.9501507537688442,0.78,0.15124711828193843
0.9614070351758793,0.78,0.15124711828193843
0.9726633165829145,0.78,0.15124711828193843
0.9839195979899498,0.78,0.15124711828193843
0.9951758793969849,0.78,0.15124711828193843
1.00643216080402,0.78,0.15124711828193843
1.0176884422110553,0.78,0.15149243768639353
1.0289447236180904,0.78,0.15149243768639353
1.0402010050251256,0.78,0.15149243768639353
1.0514572864321607,0.78,0.15200198576068924
1.062713567839196,0.78,0.15200198576068924
1.073969849246231,0.78,0.15200198576068924
1.0852261306532662,0.78,0.15224730516514434
1.0964824120603014,0.78,0.15224730516514434
1.1077386934673368,0.78,0.15231808964895086
1.1189949748743717,0.78,0.15137891372735177
1.130251256281407,0.78,0.15152048269496488
1.141507537688442,0.78,0.15159126717877142
1.1527638190954774,0.78,0.1517328361463845
1.1640201005025126,0.78,0.1519451895978041
1.1752763819095478,0.78,0.15208675856541717
1.186532663316583,0.78,0.15222832753303023
1.197788944723618,0.78,0.15222832753303023
1.2090452261306532,0.78,0.15222832753303023
1.2203015075376884,0.78,0.15097590211300024
1.2315577889447236,0.78,0.1507091125157691
1.2428140703517587,0.78,0.1494323625131323
