v АК,v ЦН,I nm
0.32,0.32,529.3823250000003
0.32633165829145727,0.32,529.3823250000003
0.3326633165829146,0.32,529.3823250000003
0.33899497487437186,0.32,529.3823250000003
0.3453266331658291,0.32,529.3823250000003
0.35165829145728644,0.32,529.3823250000003
0.3579899497487437,0.32,529.3823250000003
0.364321608040201,0.32,529.3823250000003
0.3706532663316583,0.32,529.3823250000003
0.37698492462311556,0.32,529.3823250000003
0.3833165829145728,0.32,529.3823250000003
0.38964824120603014,0.32,529.3823250000003
0.3959798994974874,0.32,529.3823250000003
0.40231155778894473,0.32,529.3823250000003
0.408643216080402,0.32,529.3823250000003
0.4149748743718593,0.32,529.3823250000003
0.4213065326633166,0.32,529.3823250000003
0.42763819095477384,0.32,529.3823250000003
0.43396984924623117,0.32,529.3823250000003
0.44030150753768843,0.32,529.3823250000003
0.4466331658291457,0.32,529.3823250000003
0.452964824120603,0.32,529.3823250000003
0.4592964824120603,0.32,529.3823250000003
0.46562814070351755,0.32,529.3823250000003
0.47195979899497487,0.32,529.3823250000003
0.47829145728643213,0.32,529.3823250000003
0.4846231155778894,0.32,529.3823250000003
0.4909547738693467,0.32,529.3823250000003
0.497286432160804,0.32,529.3823250000003
0.5036180904522612,0.32,529.3823250000003
0.5099497487437186,0.32,529.3996250000002
0.5162814070351758,0.32,529.3996250000002
0.5226130653266331,0.32,529.3996250000002
0.5289447236180904,0.32,529.4169250000002
0.5352763819095476,0.32,529.4255750000003
0.541608040201005,0.32,529.4255750000003
0.5479396984924623,0.32,529.4342250000002
0.5542713567839196,0.32,529.4342250000002
0.5606030150753768,0.32,529.4428750000003
0.5669346733668341,0.32,529.4428750000003
0.5732663316582913,0.32,529.4428750000003
0.5795979899497488,0.32,529.4428750000003
0.585929648241206,0.32,529.4601750000002
0.5922613065326632,0.32,529.4774750000001
0.5985929648241206,0.32,529.5034250000001
0.6049246231155778,0.32,529.5120750000002
0.6112562814070351,0.32,529.5293750000001
0.6175879396984925,0.32,529.5380250000001
0.6239195979899497,0.32,529.5380250000001
0.630251256281407,0.32,529.5380250000001
0.6365829145728643,0.32,529.5380250000001
0.6429145728643215,0.32,529.546675
0.6492462311557788,0.32,529.563975
0.6555778894472362,0.32,529.563975
0.6619095477386934,0.32,529.563975
0.6682412060301507,0.32,529.563975
0.674572864321608,0.32,529.563975
0.6809045226130652,0.32,529.572625
0.6872361809045225,0.32,529.572625
0.6935678391959799,0.32,529.581275
0.6998994974874371,0.32,529.581275
0.7062311557788944,0.32,529.581275
0.7125628140703517,0.32,529.607225
0.7188944723618089,0.32,529.607225
0.7252261306532662,0.32,529.615875
0.7315577889447236,0.32,529.624525
0.7378894472361808,0.32,529.624525
0.7442211055276381,0.32,529.624525
0.7505527638190954,0.32,529.6331749999999
0.7568844221105526,0.32,529.6504749999998
0.7632160804020099,0.32,529.6504749999998
0.7695477386934673,0.32,529.6591249999999
0.7758793969849245,0.32,529.6591249999999
0.7822110552763818,0.32,529.6850749999998
0.7885427135678391,0.32,529.7023749999997
0.7948743718592963,0.32,529.7196749999996
0.8012060301507536,0.32,529.7196749999996
0.807537688442211,0.32,529.7023749999997
0.8138693467336682,0.32,529.7023749999997
0.8202010050251256,0.32,529.6937249999997
0.8265326633165828,0.32,529.6937249999997
0.83286432160804,0.32,529.6850749999998
0.8391959798994975,0.32,529.6764249999999
0.8455276381909547,0.32,529.6677749999998
0.8518592964824119,0.32,529.6677749999998
0.8581909547738693,0.32,529.6504749999999
0.8645226130653265,0.32,529.6504749999999
0.8708542713567837,0.32,529.6418249999999
0.8771859296482412,0.32,529.624525
0.8835175879396984,0.32,529.615875
0.8898492462311556,0.32,529.607225
0.896180904522613,0.32,529.607225
0.9025125628140702,0.32,529.598575
0.9088442211055274,0.32,529.598575
0.9151758793969849,0.32,529.589925
0.9215075376884421,0.32,529.572625
0.9278391959798993,0.32,529.5639749999999
0.9341708542713567,0.32,529.538025
0.9405025125628139,0.32,529.520725
0.9468341708542711,0.32,529.520725
0.9531658291457286,0.32,529.520725
0.9594974874371858,0.32,529.512075
0.965829145728643,0.32,529.503425
0.9721608040201004,0.32,529.503425
0.9784924623115576,0.32,529.494775
0.9848241206030148,0.32,529.494775
0.9911557788944723,0.32,529.486125
0.9974874371859295,0.32,529.486125
1.0038190954773867,0.32,529.4688250000002
1.0101507537688441,0.32,529.460175
1.0164824120603013,0.32,529.460175
1.0228140703517585,0.32,529.4515250000002
1.029145728643216,0.32,529.4515250000002
1.0354773869346732,0.32,529.4428750000002
1.0418090452261304,0.32,529.4342250000002
1.0481407035175878,0.32,529.4342250000002
1.054472361809045,0.32,529.4342250000002
1.0608040201005025,0.32,529.4255750000002
1.0671356783919597,0.32,529.4082750000002
1.0734673366834169,0.32,529.4082750000002
1.0797989949748743,0.32,529.3909750000003
