v АК,v ЦН,ang
0.32,0.32,-0.0022496022187419727
0.32633165829145727,0.32,-0.0022496022187419727
0.3326633165829146,0.32,-0.0022496022187419727
0.33899497487437186,0.32,-0.0022496022187419727
0.3453266331658291,0.32,-0.0022496022187419727
0.35165829145728644,0.32,-0.0022496022187419727
0.3579899497487437,0.32,-0.0022496022187419727
0.364321608040201,0.32,-0.0022496022187419727
0.3706532663316583,0.32,-0.0022496022187419727
0.37698492462311556,0.32,-0.0022496022187419727
0.3833165829145728,0.32,-0.0022496022187419727
0.38964824120603014,0.32,-0.0022496022187419727
0.3959798994974874,0.32,-0.0022496022187419727
0.40231155778894473,0.32,-0.0022496022187419727
0.408643216080402,0.32,-0.0022496022187419727
0.4149748743718593,0.32,-0.0022496022187419727
0.4213065326633166,0.32,-0.0022496022187419727
0.42763819095477384,0.32,-0.0022496022187419727
0.43396984924623117,0.32,-0.0022496022187419727
0.44030150753768843,0.32,-0.0022496022187419727
0.4466331658291457,0.32,-0.0022496022187419727
0.452964824120603,0.32,-0.0022496022187419727
0.4592964824120603,0.32,-0.0022496022187419727
0.46562814070351755,0.32,-0.0022496022187419727
0.47195979899497487,0.32,-0.0022496022187419727
0.47829145728643213,0.32,-0.0022496022187419727
0.4846231155778894,0.32,-0.0022496022187419727
0.4909547738693467,0.32,-0.0022496022187419727
0.497286432160804,0.32,-0.0022496022187419727
0.5036180904522612,0.32,-0.00224302090488581
0.5099497487437186,0.32,-0.0022397302479577287
0.5162814070351758,0.32,-0.0022397302479577287
0.5226130653266331,0.32,-0.0022364395910296473
0.5289447236180904,0.32,-0.002233148934101566
0.5352763819095476,0.32,-0.002233148934101566
0.541608040201005,0.32,-0.002233148934101566
0.5479396984924623,0.32,-0.0022298582771734846
0.5542713567839196,0.32,-0.0022265676202454033
0.5606030150753768,0.32,-0.00221998630638924
0.5669346733668341,0.32,-0.00221998630638924
0.5732663316582913,0.32,-0.0022166956494611588
0.5795979899497488,0.32,-0.0022134049925330774
0.585929648241206,0.32,-0.0022134049925330774
0.5922613065326632,0.32,-0.0022134049925330774
0.5985929648241206,0.32,-0.0022068236786769143
0.6049246231155778,0.32,-0.0022068236786769143
0.6112562814070351,0.32,-0.0022068236786769143
0.6175879396984925,0.32,-0.0022002423648207516
0.6239195979899497,0.32,-0.0021903703940365075
0.630251256281407,0.32,-0.002187079737108426
0.6365829145728643,0.32,-0.002183789080180345
0.6429145728643215,0.32,-0.002183789080180345
0.6492462311557788,0.32,-0.002183789080180345
0.6555778894472362,0.32,-0.002183789080180345
0.6619095477386934,0.32,-0.0021804984232522634
0.6682412060301507,0.32,-0.0021804984232522634
0.674572864321608,0.32,-0.002177207766324182
0.6809045226130652,0.32,-0.002177207766324182
0.6872361809045225,0.32,-0.0021739171093961003
0.6935678391959799,0.32,-0.0021673357955399376
0.6998994974874371,0.32,-0.0021673357955399376
0.7062311557788944,0.32,-0.0021673357955399376
0.7125628140703517,0.32,-0.002160754481683775
0.7188944723618089,0.32,-0.0021541731678276126
